x,y,u_x,u_y
0.5299036669877646,0.9668841186309894,2.7347604149301527e-05,9.891766129756991e-05
0.78125,0.03151594575463096,4.303564249573103e-05,2.4052079687058016e-06
0.7733174785454007,0.08493903671254316,4.2844925548625336e-05,6.379590391471689e-06
0.102936050960516,0.13533337744989615,2.7526439332884322e-06,1.2652194312097737e-05
0.2960309130616399,0.669913207280988,8.149371099926592e-06,7.835259991723806e-05
0.90625,0.03158338160601333,4.742140472741392e-05,2.9405783451430723e-06
0.7113391780529581,0.3277730725745059,4.210786433085807e-05,2.223655077187929e-05
0.9598107869917203,0.04018921300827971,4.892707466629934e-05,3.870315501658593e-06
0.040189213008279726,0.9598107869917203,1.0735464854627031e-06,9.612994122901784e-05
0.14398107949265015,0.27964671175770583,3.980957575682737e-06,2.6143031548480584e-05
0.22073256742243003,0.33021374287674354,6.168663894805826e-06,2.8243233407378397e-05
0.4523013950679649,0.3589821081530152,2.0026144157795674e-05,4.595467948945356e-06
0.8923430034994172,0.7500382208672894,4.7088525004314505e-05,7.607829591108688e-05
0.37226556680650386,0.6236699991913551,1.2283007671026158e-05,8.683019829859072e-05
0.34375,0.0,1.3591724834849047e-05,0.0
0.32119799853337255,0.04809610328927119,1.212318187895463e-05,2.6490584067244273e-06
0.27119312942323875,0.7911005286267875,8.24609801294367e-06,8.581219736453713e-05
0.3182254863491808,0.7433788973573963,9.978455536351794e-06,8.557458783288475e-05
0.7044291215922072,0.8347598995117982,4.012994131913818e-05,8.988307189863603e-05
0.7269644087384385,0.794667847707593,4.162528647626387e-05,8.615695649945454e-05
0.6276269189195356,0.3191318964877915,3.74189377633022e-05,1.215346142880423e-05
0.6644654584486611,0.2953331659409666,3.9574423626757104e-05,1.511426252672072e-05
0.10192693055529904,0.6181714630309351,3.6681001394686822e-06,6.214924879470876e-05
0.8961248442043822,0.854853354172989,4.72326161563031e-05,8.641589825603961e-05
0.5595173704527212,0.6410191948228964,3.118753917208822e-05,9.46010069756585e-05
0.9011770987759069,0.1581293121487977,4.738206163489564e-05,1.4903376917910385e-05
